author_genres,author_name,book_title,genre_1,genre_2,comb
gay romance,charlie cochet,rack & ruin,romance,fantasy,gay romance charlie cochet rack & ruin romance fantasy
romance,mary calmes,control,romance,fantasy,romance mary calmes control romance fantasy
gay and lesbian romance,diane  adams,last first kiss,romance,contemporary,gay and lesbian romance diane  adams last first kiss romance contemporary
gay lesbian,jaime reese,a hunted man,romance,contemporary,gay lesbian jaime reese a hunted man romance contemporary
gay lesbian,keira andrews,a forbidden rumspringa,romance,romance,gay lesbian keira andrews a forbidden rumspringa romance romance
romance,jay northcote,not just friends,romance,contemporary,romance jay northcote not just friends romance contemporary
gay and lesbian,lane hayes,better than chance,romance,contemporary,gay and lesbian lane hayes better than chance romance contemporary
romance gay and lesbian,renae kaye,the shearing gun,romance,contemporary,romance gay and lesbian renae kaye the shearing gun romance contemporary
contemporary,garrett leigh,only love,romance,war,contemporary garrett leigh only love romance war
fiction,john  wiltshire,love is a stranger,romance,war,fiction john  wiltshire love is a stranger romance war
gay and lesbian,n.r. walker,red dirt heart 2,romance,romance,gay and lesbian n.r. walker red dirt heart 2 romance romance
romance gay and lesbian,s.e. harmon,stay with me,romance,contemporary,romance gay and lesbian s.e. harmon stay with me romance contemporary
gay and lesbian,a.e. via,nothing special,romance,romance,gay and lesbian a.e. via nothing special romance romance
science fiction fantasy,jay bell,something like spring,romance,lgbt,science fiction fantasy jay bell something like spring romance lgbt
horror gay lesbian,jordan castillo price,forget me not,romance,science fiction,horror gay lesbian jordan castillo price forget me not romance science fiction
romance,nicole edwards,ethan,romance,adult fiction,romance nicole edwards ethan romance adult fiction
gay lesbian,a.j.  rose,queers,romance,contemporary,gay lesbian a.j.  rose queers romance contemporary
romance,mercy celeste,offside chance,romance,sports and games,romance mercy celeste offside chance romance sports and games
gay lesbian,j.l. merrow,relief valve,romance,mystery,gay lesbian j.l. merrow relief valve romance mystery
romance,eli easton,the mating of michael,romance,disability,romance eli easton the mating of michael romance disability
romance,anyta sunday,rock,romance,romance,romance anyta sunday rock romance romance
gay lesbian,amelia c. gormley,strain,romance,erotica,gay lesbian amelia c. gormley strain romance erotica
romance,lisa henry,when all the world sleeps,romance,erotica,romance lisa henry when all the world sleeps romance erotica
gay and lesbian,kade boehme,trouble & the wallflower,romance,romance,gay and lesbian kade boehme trouble & the wallflower romance romance
romance,joanna chambers,enlightened,historical,romance,romance joanna chambers enlightened historical romance
humor and comedy mystery,nick wilgus,shaking the sugar tree,romance,contemporary,humor and comedy mystery nick wilgus shaking the sugar tree romance contemporary
romance,s.e. jakes,daylight again,romance,war,romance s.e. jakes daylight again romance war
gay lesbian,kindle alexander,full disclosure,romance,romance,gay lesbian kindle alexander full disclosure romance romance
gay lesbian,t.j. klune,the art of breathing,romance,romance,gay lesbian t.j. klune the art of breathing romance romance
romance,ella frank,take,romance,romance,romance ella frank take romance romance
gay lesbian,abigail roux,ball & chain,romance,romance,gay lesbian abigail roux ball & chain romance romance
science fiction fantasy young adult,maria v. snyder,inside out,young adult,science fiction,science fiction fantasy young adult maria v. snyder inside out young adult science fiction
science fiction fantasy mystery thrillers,sheri s. tepper,the gate to women's country,science fiction,fiction,science fiction fantasy mystery thrillers sheri s. tepper the gate to women's country science fiction fiction
literature fiction,eoin colfer,the supernaturalist,fantasy,young adult,literature fiction eoin colfer the supernaturalist fantasy young adult
science fiction children s fiction,robert a. heinlein,stranger in a strange land,science fiction,fiction,science fiction children s fiction robert a. heinlein stranger in a strange land science fiction fiction
science fiction,paolo bacigalupi,ship breaker,young adult,science fiction,science fiction paolo bacigalupi ship breaker young adult science fiction
science fiction fantasy,william f. nolan,logan's run,science fiction,science fiction,science fiction fantasy william f. nolan logan's run science fiction science fiction
science fiction,kurt vonnegut,player piano,fiction,science fiction,science fiction kurt vonnegut player piano fiction science fiction
science fiction fantasy,larry niven,lucifer's hammer,science fiction,fiction,science fiction fantasy larry niven lucifer's hammer science fiction fiction
science fiction fantasy literature fiction outdoors nature,george r. stewart,earth abides,science fiction,apocalyptic,science fiction fantasy literature fiction outdoors nature george r. stewart earth abides science fiction apocalyptic
historical fiction science fiction autobiography,pierre boulle,planet of the apes,science fiction,fiction,historical fiction science fiction autobiography pierre boulle planet of the apes science fiction fiction
horror mystery,stephen king,cell,horror,fiction,horror mystery stephen king cell horror fiction
science fiction fantasy literature fiction nonfiction,philip k. dick,a scanner darkly,science fiction,fiction,science fiction fantasy literature fiction nonfiction philip k. dick a scanner darkly science fiction fiction
science fiction fantasy,jasper fforde,shades of grey,fantasy,fiction,science fiction fantasy jasper fforde shades of grey fantasy fiction
science fiction,neal stephenson,the diamond age  or  a young lady's illustrated primer,science fiction,fiction,science fiction neal stephenson the diamond age  or  a young lady's illustrated primer science fiction fiction
children s books,alexandra bracken,the darkest minds,young adult,science fiction,children s books alexandra bracken the darkest minds young adult science fiction
science fiction,pierce brown,red rising,science fiction,fantasy,science fiction pierce brown red rising science fiction fantasy
crime horror,richard bachman,the running man,horror,fiction,crime horror richard bachman the running man horror fiction
literature fiction science fiction fantasy,ray bradbury,the martian chronicles,science fiction,fiction,literature fiction science fiction fantasy ray bradbury the martian chronicles science fiction fiction
science fiction fantasy,joe haldeman,the forever war,science fiction,fiction,science fiction fantasy joe haldeman the forever war science fiction fiction
literature fiction,robert r. mccammon,swan song,horror,fiction,literature fiction robert r. mccammon swan song horror fiction
fiction non fiction,nevil shute,on the beach,fiction,science fiction,fiction non fiction nevil shute on the beach fiction science fiction
science fiction fantasy,david brin,the postman,science fiction,fiction,science fiction fantasy david brin the postman science fiction fiction
literature fiction,emily st. john mandel,station eleven,fiction,science fiction,literature fiction emily st. john mandel station eleven fiction science fiction
science fiction fantasy history fiction,pat frank,alas  babylon,fiction,science fiction,science fiction fantasy history fiction pat frank alas  babylon fiction science fiction
science fiction,john wyndham,the chrysalids,science fiction,fiction,science fiction john wyndham the chrysalids science fiction fiction
philosophy catholicism,thomas more,utopia,classics,philosophy,philosophy catholicism thomas more utopia classics philosophy
science fiction fantasy romance,ann aguirre,enclave,science fiction,young adult,science fiction fantasy romance ann aguirre enclave science fiction young adult
science fiction fantasy,octavia e. butler,parable of the sower,science fiction,fiction,science fiction fantasy octavia e. butler parable of the sower science fiction fiction
children s books,m.t. anderson,feed,young adult,science fiction,children s books m.t. anderson feed young adult science fiction
science fiction fantasy young adult,ursula k. le guin,the dispossessed,science fiction,fiction,science fiction fantasy young adult ursula k. le guin the dispossessed science fiction fiction
fiction philosophy short stories,franz kafka,the trial,classics,fiction,fiction philosophy short stories franz kafka the trial classics fiction
young adult science fiction fantasy,beth revis,across the universe,young adult,science fiction,young adult science fiction fantasy beth revis across the universe young adult science fiction
science fiction fantasy young adult,nancy farmer,the house of the scorpion,young adult,science fiction,science fiction fantasy young adult nancy farmer the house of the scorpion young adult science fiction
literature fiction philosophy,ayn rand,atlas shrugged,fiction,classics,literature fiction philosophy ayn rand atlas shrugged fiction classics
crime mystery suspense,p.d. james,the children of men,fiction,science fiction,crime mystery suspense p.d. james the children of men fiction science fiction
science fiction,william gibson,neuromancer,science fiction,fiction,science fiction william gibson neuromancer science fiction fiction
science fiction,walter m. miller jr.,a canticle for leibowitz,science fiction,fiction,science fiction walter m. miller jr. a canticle for leibowitz science fiction fiction
literature fiction theatre,josé saramago,blindness,fiction,science fiction,literature fiction theatre josé saramago blindness fiction science fiction
literature fiction political satire,yevgeny zamyatin,we,fiction,science fiction,literature fiction political satire yevgeny zamyatin we fiction science fiction
young adult,kiera cass,the selection,young adult,romance,young adult kiera cass the selection young adult romance
science fiction fantasy,susan beth pfeffer,life as we knew it,young adult,science fiction,science fiction fantasy susan beth pfeffer life as we knew it young adult science fiction
science fiction fantasy mystery thrillers comics graphic novels,koushun takami,battle royale,fiction,science fiction,science fiction fantasy mystery thrillers comics graphic novels koushun takami battle royale fiction science fiction
young adult,marissa meyer,cinder,young adult,fantasy,young adult marissa meyer cinder young adult fantasy
literature fiction science fiction fantasy history,h.g. wells,the time machine,classics,science fiction,literature fiction science fiction fantasy history h.g. wells the time machine classics science fiction
science fiction fantasy,hugh howey,wool omnibus,science fiction,fiction,science fiction fantasy hugh howey wool omnibus science fiction fiction
horror nonfiction,max brooks,world war z  an oral history of the zombie war,horror,fiction,horror nonfiction max brooks world war z  an oral history of the zombie war horror fiction
literature fiction,margaret atwood,oryx and crake,fiction,science fiction,literature fiction margaret atwood oryx and crake fiction science fiction
fiction science fiction fantasy,kazuo ishiguro,never let me go,fiction,science fiction,fiction science fiction fantasy kazuo ishiguro never let me go fiction science fiction
young adult,alyson noel,evermore,young adult,fantasy,young adult alyson noel evermore young adult fantasy
science fiction fantasy paranormal romance,stephenie meyer,the twilight collection,young adult,fantasy,science fiction fantasy paranormal romance stephenie meyer the twilight collection young adult fantasy
science fiction fantasy,cornelia funke,dragon rider,fantasy,fantasy,science fiction fantasy cornelia funke dragon rider fantasy fantasy
fiction,j.k. rowling,harry potter series box set,fantasy,young adult,fiction j.k. rowling harry potter series box set fantasy young adult
literature fiction mystery thrillers,daphne du maurier,rebecca,classics,fiction,literature fiction mystery thrillers daphne du maurier rebecca classics fiction
mystery thrillers,janet evanovich,finger lickin' fifteen,mystery,fiction,mystery thrillers janet evanovich finger lickin' fifteen mystery fiction
literature fiction,james patterson,school's out—forever,young adult,fantasy,literature fiction james patterson school's out—forever young adult fantasy
young adult,melissa de la cruz,the van alen legacy,paranormal,young adult,young adult melissa de la cruz the van alen legacy paranormal young adult
fiction romance,jane austen,the complete novels,romance,classics,fiction romance jane austen the complete novels romance classics
literature fiction,jodi picoult,handle with care,fiction,contemporary,literature fiction jodi picoult handle with care fiction contemporary
literature fiction contemporary,kate jacobs,the friday night knitting club,fiction,womens fiction,literature fiction contemporary kate jacobs the friday night knitting club fiction womens fiction
literature fiction historical fiction,louisa may alcott,little women,classics,fiction,literature fiction historical fiction louisa may alcott little women classics fiction
biographies memoirs,augusten burroughs,running with scissors,autobiography,nonfiction,biographies memoirs augusten burroughs running with scissors autobiography nonfiction
literature fiction,tatiana de rosnay,sarah's key,historical,fiction,literature fiction tatiana de rosnay sarah's key historical fiction
literature fiction,betty  smith,a tree grows in brooklyn,classics,fiction,literature fiction betty  smith a tree grows in brooklyn classics fiction
poetry biographies memoirs literature fiction,sylvia plath,the bell jar,classics,fiction,poetry biographies memoirs literature fiction sylvia plath the bell jar classics fiction
science fiction mystery,douglas adams,the ultimate hitchhiker's guide to the galaxy,science fiction,fiction,science fiction mystery douglas adams the ultimate hitchhiker's guide to the galaxy science fiction fiction
literature fiction,amy tan,the joy luck club,fiction,historical,literature fiction amy tan the joy luck club fiction historical
literature fiction philosophy politics,bernhard schlink,the reader,fiction,historical,literature fiction philosophy politics bernhard schlink the reader fiction historical
young adult,melissa marr,wicked lovely,fantasy,young adult,young adult melissa marr wicked lovely fantasy young adult
young adult,christopher paolini,eldest,fantasy,young adult,young adult christopher paolini eldest fantasy young adult
fiction,cormac mccarthy,the road,fiction,science fiction,fiction cormac mccarthy the road fiction science fiction
literature fiction,jerry spinelli,stargirl,young adult,fiction,literature fiction jerry spinelli stargirl young adult fiction
biographies memoirs,mitch albom,tuesdays with morrie,nonfiction,autobiography,biographies memoirs mitch albom tuesdays with morrie nonfiction autobiography
fantasy fiction,j.r.r. tolkien,the return of the king,fantasy,fiction,fantasy fiction j.r.r. tolkien the return of the king fantasy fiction
mystery thrillers,dan brown,the lost symbol,fiction,mystery,mystery thrillers dan brown the lost symbol fiction mystery
young adult,p.c. cast,marked,young adult,paranormal,young adult p.c. cast marked young adult paranormal
science fiction fantasy young adult,richelle mead,blood promise,young adult,paranormal,science fiction fantasy young adult richelle mead blood promise young adult paranormal
biographies memoirs nonfiction,greg mortenson,three cups of tea  one man's mission to promote peace ... one school at a time,nonfiction,autobiography,biographies memoirs nonfiction greg mortenson three cups of tea  one man's mission to promote peace ... one school at a time nonfiction autobiography
mystery thrillers,ken follett,the pillars of the earth,historical,fiction,mystery thrillers ken follett the pillars of the earth historical fiction
literature fiction,philippa gregory,the other boleyn girl,historical,fiction,literature fiction philippa gregory the other boleyn girl historical fiction
horror literature fiction,seth grahame-smith,pride and prejudice and zombies,fiction,horror,horror literature fiction seth grahame-smith pride and prejudice and zombies fiction horror
fiction,kim edwards,the memory keeper's daughter,fiction,contemporary,fiction kim edwards the memory keeper's daughter fiction contemporary
science fiction fantasy,scott westerfeld,pretties,young adult,science fiction,science fiction fantasy scott westerfeld pretties young adult science fiction
romance,jennifer ashley,the madness of lord ian mackenzie,romance,romance,romance jennifer ashley the madness of lord ian mackenzie romance romance
paranormal romance science fiction fantasy,nalini singh,slave to sensation,romance,fantasy,paranormal romance science fiction fantasy nalini singh slave to sensation romance fantasy
romance young adult,gena showalter,the darkest night,fantasy,romance,romance young adult gena showalter the darkest night fantasy romance
young adult,katie mcgarry,pushing the limits,young adult,romance,young adult katie mcgarry pushing the limits young adult romance
literature fiction,susan elizabeth phillips,this heart of mine,romance,romance,literature fiction susan elizabeth phillips this heart of mine romance romance
literature fiction,helen fielding,bridget jones's diary,womens fiction,fiction,literature fiction helen fielding bridget jones's diary womens fiction fiction
romance,julie james,practice makes perfect,romance,romance,romance julie james practice makes perfect romance romance
adult new adult,j. lynn,wait for you,new adult,romance,adult new adult j. lynn wait for you new adult romance
romance,jaci burton,the perfect play,romance,sports and games,romance jaci burton the perfect play romance sports and games
romance paranormal,j.r. ward,lover eternal,romance,fantasy,romance paranormal j.r. ward lover eternal romance fantasy
romance,elizabeth reyes,forever mine,romance,young adult,romance elizabeth reyes forever mine romance young adult
romance humor,kristen ashley,rock chick,romance,romance,romance humor kristen ashley rock chick romance romance
young adult,abbi glines,fallen too far,romance,new adult,young adult abbi glines fallen too far romance new adult
romance,r.l. mathewson,playing for keeps,romance,romance,romance r.l. mathewson playing for keeps romance romance
romance,alice clayton,wallbanger,contemporary,romance,romance alice clayton wallbanger contemporary romance
romance literature fiction,jennifer crusie,bet me,romance,womens fiction,romance literature fiction jennifer crusie bet me romance womens fiction
chick lit,sophie kinsella,can you keep a secret?,womens fiction,romance,chick lit sophie kinsella can you keep a secret? womens fiction romance
suspense science fiction,j.d. robb,naked in death,mystery,romance,suspense science fiction j.d. robb naked in death mystery romance
science fiction,tahereh mafi,shatter me,young adult,science fiction,science fiction tahereh mafi shatter me young adult science fiction
romance,julie garwood,the bride,romance,romance,romance julie garwood the bride romance romance
young adult,jenny han,the summer i turned pretty,young adult,romance,young adult jenny han the summer i turned pretty young adult romance
young adult,shelly crane,significance,fantasy,young adult,young adult shelly crane significance fantasy young adult
romance historical fiction,judith mcnaught,a kingdom of dreams,romance,romance,romance historical fiction judith mcnaught a kingdom of dreams romance romance
young adult,ally condie,matched,young adult,science fiction,young adult ally condie matched young adult science fiction
romance,jessica park,flat out love,romance,young adult,romance jessica park flat out love romance young adult
young adult,rebecca donovan,reason to breathe,romance,young adult,young adult rebecca donovan reason to breathe romance young adult
historical fiction,paullina simons,the bronze horseman,historical,romance,historical fiction paullina simons the bronze horseman historical romance
literature fiction historical fiction,arthur golden,memoirs of a geisha,fiction,historical,literature fiction historical fiction arthur golden memoirs of a geisha fiction historical
fiction,colleen hoover,hopeless,romance,new adult,fiction colleen hoover hopeless romance new adult
romance,tracey garvis graves,on the island,romance,contemporary,romance tracey garvis graves on the island romance contemporary
literature fiction,nicholas sparks,a walk to remember,romance,fiction,literature fiction nicholas sparks a walk to remember romance fiction
young adult,becca fitzpatrick,hush  hush,young adult,fantasy,young adult becca fitzpatrick hush  hush young adult fantasy
romance history fiction,margaret mitchell,gone with the wind,classics,historical,romance history fiction margaret mitchell gone with the wind classics historical
literature fiction,sylvain reynard,gabriel's inferno,romance,romance,literature fiction sylvain reynard gabriel's inferno romance romance
romance,tammara webber,easy,romance,new adult,romance tammara webber easy romance new adult
romance,sylvia day,bared to you,romance,adult fiction,romance sylvia day bared to you romance adult fiction
romance,e.l. james,fifty shades of grey,romance,fiction,romance e.l. james fifty shades of grey romance fiction
young adult,margaret stohl,icons,young adult,science fiction,young adult margaret stohl icons young adult science fiction
young adult,michelle k. pickett,pods,science fiction,young adult,young adult michelle k. pickett pods science fiction young adult
young adult,kristin halbrook,nobody but us,young adult,contemporary,young adult kristin halbrook nobody but us young adult contemporary
young adult,ellen oh,prophecy,fantasy,young adult,young adult ellen oh prophecy fantasy young adult
young adult,jessica brody,unremembered,science fiction,young adult,young adult jessica brody unremembered science fiction young adult
young adult,jennifer anne davis,the voice,young adult,contemporary,young adult jennifer anne davis the voice young adult contemporary
young adult,april genevieve tucholke,between the devil and the deep blue sea,young adult,fantasy,young adult april genevieve tucholke between the devil and the deep blue sea young adult fantasy
young adult,claudia gray,spellcaster,young adult,fantasy,young adult claudia gray spellcaster young adult fantasy
young adult,lisa mcmann,crash,young adult,fantasy,young adult lisa mcmann crash young adult fantasy
young adult,kiersten white,the chaos of stars,fantasy,young adult,young adult kiersten white the chaos of stars fantasy young adult
young adult science fiction fantasy,andrea cremer,invisibility,young adult,fantasy,young adult science fiction fantasy andrea cremer invisibility young adult fantasy
young adult,brigid kemmerer,spirit,young adult,fantasy,young adult brigid kemmerer spirit young adult fantasy
young adult,kami garcia,unbreakable,young adult,fantasy,young adult kami garcia unbreakable young adult fantasy
young adult,mindy mcginnis,not a drop to drink,young adult,science fiction,young adult mindy mcginnis not a drop to drink young adult science fiction
young adult,jessica spotswood,star cursed,historical,fantasy,young adult jessica spotswood star cursed historical fantasy
young adult,tara hudson,elegy,fantasy,young adult,young adult tara hudson elegy fantasy young adult
young adult,jennifer rush,altered,young adult,science fiction,young adult jennifer rush altered young adult science fiction
children s books,jennifer a. nielsen,the runaway king,fantasy,young adult,children s books jennifer a. nielsen the runaway king fantasy young adult
young adult,victoria scott,the collector,young adult,fantasy,young adult victoria scott the collector young adult fantasy
young adult science fiction fantasy,brenna yovanoff,paper valentine,young adult,mystery,young adult science fiction fantasy brenna yovanoff paper valentine young adult mystery
young adult,elsie chapman,dualed,science fiction,young adult,young adult elsie chapman dualed science fiction young adult
young adult,kasie west,pivot point,young adult,fantasy,young adult kasie west pivot point young adult fantasy
young adult,kristen simmons,breaking point,science fiction,young adult,young adult kristen simmons breaking point science fiction young adult
young adult,jennifer e. smith,this is what happy looks like,young adult,romance,young adult jennifer e. smith this is what happy looks like young adult romance
young adult horror,rachel hawkins,school spirits,young adult,fantasy,young adult horror rachel hawkins school spirits young adult fantasy
literature fiction,maureen johnson,the madness underneath,young adult,fantasy,literature fiction maureen johnson the madness underneath young adult fantasy
young adult,elizabeth norris,unbreakable,young adult,science fiction,young adult elizabeth norris unbreakable young adult science fiction
historical romance,k.c. hilton,my name is rapunzel,romance,fantasy,historical romance k.c. hilton my name is rapunzel romance fantasy
young adult,kendare blake,antigoddess,fantasy,young adult,young adult kendare blake antigoddess fantasy young adult
fantasy,holly black,the coldest girl in coldtown,young adult,fantasy,fantasy holly black the coldest girl in coldtown young adult fantasy
young adult,amie kaufman,these broken stars,young adult,science fiction,young adult amie kaufman these broken stars young adult science fiction
young adult,anna banks,of triton,fantasy,young adult,young adult anna banks of triton fantasy young adult
literature fiction,meg cabot,awaken,young adult,fantasy,literature fiction meg cabot awaken young adult fantasy
young adult,jennifer l. armentrout,sentinel,young adult,fantasy,young adult jennifer l. armentrout sentinel young adult fantasy
young adult,erin bowman,taken,young adult,science fiction,young adult erin bowman taken young adult science fiction
young adult,debra driza,mila 2.0,young adult,science fiction,young adult debra driza mila 2.0 young adult science fiction
mystery thrillers,rick yancey,the 5th wave,young adult,science fiction,mystery thrillers rick yancey the 5th wave young adult science fiction
young adult,rae carson,the bitter kingdom,fantasy,young adult,young adult rae carson the bitter kingdom fantasy young adult
young adult,megan shepherd,the madman’s daughter,young adult,historical,young adult megan shepherd the madman’s daughter young adult historical
children s books,shannon messenger,let the sky fall,young adult,fantasy,children s books shannon messenger let the sky fall young adult fantasy
science fiction fantasy young adult,rachel vincent,with all my soul,young adult,fantasy,science fiction fantasy young adult rachel vincent with all my soul young adult fantasy
young adult science fiction fantasy,victoria schwab,the archived,fantasy,young adult,young adult science fiction fantasy victoria schwab the archived fantasy young adult
young adult science fiction fantasy,marie lu,champion,science fiction,young adult,young adult science fiction fantasy marie lu champion science fiction young adult
science fiction fantasy,gail carriger,etiquette & espionage,young adult,science fiction,science fiction fantasy gail carriger etiquette & espionage young adult science fiction
young adult,courtney allison moulton,shadows in the silence,paranormal,young adult,young adult courtney allison moulton shadows in the silence paranormal young adult
fantasy,robin lafevers,dark triumph,fantasy,young adult,fantasy robin lafevers dark triumph fantasy young adult
literature fiction,sarah dessen,the moon and more,young adult,contemporary,literature fiction sarah dessen the moon and more young adult contemporary
young adult,kimberly derting,the essence,science fiction,fantasy,young adult kimberly derting the essence science fiction fantasy
young adult,wendy higgins,sweet peril,young adult,fantasy,young adult wendy higgins sweet peril young adult fantasy
young adult,suzanne young,the program,young adult,science fiction,young adult suzanne young the program young adult science fiction
young adult science fiction fantasy,jodi meadows,asunder,fantasy,young adult,young adult science fiction fantasy jodi meadows asunder fantasy young adult
young adult,a.g. howard,splintered,fantasy,young adult,young adult a.g. howard splintered fantasy young adult
young adult,aimee carter,the goddess inheritance,fantasy,young adult,young adult aimee carter the goddess inheritance fantasy young adult
young adult,gayle forman,just one day,young adult,romance,young adult gayle forman just one day young adult romance
young adult,ally carter,united we spy,young adult,mystery,young adult ally carter united we spy young adult mystery
science fiction fantasy,cassandra clare,shadowhunters and downworlders  a mortal instruments reader,fantasy,young adult,science fiction fantasy cassandra clare shadowhunters and downworlders  a mortal instruments reader fantasy young adult
young adult,brodi ashton,everbound,young adult,fantasy,young adult brodi ashton everbound young adult fantasy
young adult,amy plum,if i should die,young adult,fantasy,young adult amy plum if i should die young adult fantasy
young adult,leigh bardugo,siege and storm,fantasy,young adult,young adult leigh bardugo siege and storm fantasy young adult
science fiction fantasy mystery thrillers,kelley armstrong,the rising,young adult,fantasy,science fiction fantasy mystery thrillers kelley armstrong the rising young adult fantasy
young adult,sarah j. maas,crown of midnight,fantasy,young adult,young adult sarah j. maas crown of midnight fantasy young adult
literature fiction,josephine angelini,goddess,fantasy,fantasy,literature fiction josephine angelini goddess fantasy fantasy
young adult,michael  grant,light,young adult,science fiction,young adult michael  grant light young adult science fiction
young adult literature fiction,lauren oliver,requiem,young adult,science fiction,young adult literature fiction lauren oliver requiem young adult science fiction
young adult,lauren destefano,sever,science fiction,young adult,young adult lauren destefano sever science fiction young adult
young adult,veronica rossi,through the ever night,science fiction,young adult,young adult veronica rossi through the ever night science fiction young adult
young adult,cynthia hand,boundless,young adult,paranormal,young adult cynthia hand boundless young adult paranormal
